,Ragione sociale,BvD ID number,Codice fiscale,Numero CCIAA,Partita IVA,Indirizzo sede legale,Provincia,Indirizzo sede legale - Codice postale,Indirizzo sede legale - Regione,Sede operativa,Sede operativa - Provincia,Sede operativa - Codice postale,Sede operativa - Regione - Regione,"ATECO 2007
codice",Anno di costituzione,Fondazione,Stato giuridico,Forma giuridica
77.,TRIVE' GROUP S.R.L.,IT12400670019,12400670019,TO1287259,12400670019,"VIA GIOVANNI AMENDOLA, 12/C",Torino,10121,Piemonte,VIA GIOVANNI AMENDOLA 12/C,Torino,10121,PIEMONTE,561011,23/12/2020,,Attiva,S.R.L.
78.,MACCHINE E INNOVAZIONE SRL,IT03100620644,03100620644,MI2708677,03100620644,"VIA MAURO MACCHI, 63",Milano,20124,Lombardia,,,,,332009,02/08/2021,,Attiva,S.R.L.
79.,CLEANBNB ROMA SRL,IT14789731008,14789731008,RM1547196,14789731008,"VIA PALESTRO, 95",Roma,00185,Lazio,VIA PALESTRO 95,Roma,00185,LAZIO,620100,09/05/2018,,Attiva,S.R.L.
80.,FINCONNECTION S.R.L.,IT04274760240,04274760240,VI0392463,04274760240,"VIA ALESSANDRO MANZONI, 48/A",Vicenza,36054,Veneto,,,,,273200,06/04/2020,,Attiva,S.R.L.
81.,MATWEB S.R.L.,IT05789600656,05789600656,SA0474225,05789600656,"PZA GIORGIO AMENDOLA, 17",Salerno,84091,Campania,,,,,620100,11/02/2019,,Attiva,S.R.L.
82.,PRESTIGE BOUTIQUE HOMES S.R.L.,IT12080630960,12080630960,MI2638929,12080630960,"VIA DEI PIATTI, 4",Milano,20123,Lombardia,,,,,552051,25/10/2021,,Attiva,S.R.L.
83.,DELIVERY CARE SRL SOCIETA' BENEFIT IN FORMA ABBREVIATA DELIVERY CARE SRL - SB,IT11263630961,11263630961,MI2590563,11263630961," FORO BUONAPARTE, 59",Milano,20121,Lombardia,FORO BUONAPARTE 59,Milano,20121,LOMBARDIA,869029,15/05/2020,,Attiva,S.R.L.
84.,NGV POWERTRAIN S.R.L. IN LIQUIDAZIONE,IT02873150359,02873150359,RE0320912,02873150359,"VIA AMUNDSEN ROALD, 1",Reggio nell'Emilia,42122,Emilia-Romagna,VIA ROALD AMUNDSEN 1,Reggio nell'Emilia,42122,EMILIA-ROMAGNA,281111,13/12/2019,,In liquidazione,S.R.L.
85.,DIGIX PLUS S.R.L.,IT12160360017,12160360017,MI2568654,12160360017,"PZA PIO XI, 1",Milano,20123,Lombardia,PIAZZA PIO XI 1,Milano,20123,LOMBARDIA,620100,01/08/2019,,Attiva,S.R.L.
86.,ADVPA S.R.L.,IT09728691214,09728691214,NA1052878,09728691214," CENTRO DIREZ. VIA G.PORZIO, 4",Napoli,80143,Campania,,,,,702209,12/03/2021,,Attiva,S.R.L.
87.,ADRIAMARKET 2.0 SRL,IT02734000413,02734000413,PS0268804,02734000413,"VIA NUOVA, 13",Pesaro e Urbino,61012,Marche,,,,,620100,10/12/2020,,Attiva,S.R.L.
88.,EDUSOGNO SOCIETA' A RESPONSABILITA' LIMITATA,IT08587960728,08587960728,MI2724860,08587960728,"VIA CALDERA, 21",Milano,20153,Lombardia,,,,,855990,23/06/2021,,Attiva,S.R.L.
89.,NEST.CITY S.R.L.,IT11082470961,11082470961,MI2579015,11082470961,"PZA GENERALE ARMANDO DIAZ, 7",Milano,20123,Lombardia,,,,,631200,13/12/2019,,Attiva,S.R.L.
90.,NTSG ITALIA - SOCIETA' A RESPONSABILITA' LIMITATA,IT16395271006,16395271006,RM1653959,16395271006,"VLE PALMIRO TOGLIATTI, 1563",Roma,00155,Lazio,,,,,631119,05/11/2021,,Attiva,S.R.L.
91.,DSYRE S.R.L.,IT12465330962,12465330962,MI2725596,12465330962,"VIA SAN VITTORE, 7",Milano,20123,Lombardia,,,,,631200,21/06/2022,,Attiva,S.R.L.
92.,ROAN S.R.L.,IT10892770966,10892770966,MI2564297,10892770966,"VIA QUINTINO SELLA, 4",Milano,20121,Lombardia,VIA QUINTINO SELLA 4,Milano,20121,LOMBARDIA,331259,28/06/2019,,Attiva,S.R.L.
93.,MEETERS S.R.L.,IT10802670967,10802670967,MI2558973,10802670967," RIPA DI PORTA TICINESE, 39",Milano,20143,Lombardia,RIPA DI PORTA TICINESE 39,Milano,20143,LOMBARDIA,791200,30/04/2019,,Attiva,S.R.L.
94.,NETFINTECH S.R.L.,IT02337760512,02337760512,MI2644485,02337760512,"VLE ANDREA DORIA, 7",Milano,20124,Lombardia,VIA TRASIMENO 10,Arezzo,52100,TOSCANA,661922,14/02/2019,,Attiva,S.R.L.
95.,KEYPARTNERS ITALY SRL,IT12115590965,12115590965,MI2641253,12115590965,"PLE BIANCAMANO, 8",Milano,20121,Lombardia,PIAZZALE BIANCAMANO 8,Milano,20121,LOMBARDIA,781000,23/11/2021,,Attiva,S.R.L.
96.,QTI S.R.L.,IT07044650484,07044650484,FI0675457,07044650484,"LGO ENRICO FERMI, 6",Firenze,50125,Toscana,LARGO ENRICO FERMI 6,Firenze,50125,TOSCANA,721909,16/10/2020,,Attiva,S.R.L.
97.,MAZZI GROUP EXPERIENCES S.R.L.,IT07004220484,07004220484,FI0672587,07004220484,"VIA DI MARAGLIANO, 99",Firenze,50144,Toscana,VIA DI MARAGLIANO 99,Firenze,50144,TOSCANA,791100,02/03/2020,,Attiva,S.R.L.
98.,INDOUT SRL,IT12125740964,12125740964,MI2642080,12125740964,"PZA QUATTRO NOVEMBRE, 4",Milano,20124,Lombardia,PIAZZA IV NOVEMBRE 4,Milano,20124,LOMBARDIA,721909,03/12/2021,,Attiva,S.R.L.
99.,SOOD S.R.L.,IT09232551219,09232551219,NA1017743,09232551219,"VLE ANTONIO GRAMSCI, 13",Napoli,80122,Campania,VIALE ANTONIO GRAMSCI 13,Napoli,80122,CAMPANIA,620200,07/05/2019,,Attiva,S.R.L.
100.,M & N MOTORS S.R.L.,IT04299910614,04299910614,CE0315310,04299910614,"CSO UMBERTO I, 291",Caserta,81012,Campania,CORSO UMBERTO I 291,Caserta,81012,CAMPANIA,771100,30/01/2018,,Attiva,S.R.L.
101.,METALSISTEM SOLUTIONS S.R.L.,IT02664560030,02664560030,NO0301605,02664560030,"PZA MARTIN LUTHER KING, 10",Novara,28100,Piemonte,PIAZZA MARTIN LUTHER KING 10,Novara,28100,PIEMONTE,432909,29/03/2021,,Attiva,S.R.L.
102.,MIA CARE S.R.L.,IT11504530962,11504530962,MI2607691,11504530962,"VIA GIACOMO LEOPARDI, 8",Milano,20123,Lombardia,VIA GIACOMO LEOPARDI 8,Milano,20123,LOMBARDIA,620100,10/12/2020,,Attiva,S.R.L.
103.,TRIDA SOCIETA' A RESPONSABILITA' LIMITATA,IT02662100748,02662100748,BR0162413,02662100748,"VIA GIUSEPPE SAMPIETRO, 39",Brindisi,72015,Puglia,VIA GIUSEPPE SAMPIETRO 39,Brindisi,72015,PUGLIA,631200,29/06/2021,,Attiva,S.R.L.
104.,"WINARD S.R.L. START-UP COSTITUITA A NORMA DELL'ART.4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015, N.3,",IT05652450874,05652450874,CT0419175,05652450874,"VLE AFRICA, 31",Catania,95129,Sicilia,,,,,620100,26/04/2019,,Attiva,S.R.L.
105.,SP-CYBERTEC SRL,IT15265351005,15265351005,RM1578833,15265351005," POGGIO LAURENTINO, 18",Roma,00144,Lazio,VIA MARIO BIANCHINI 60,Roma,00142,LAZIO,620100,02/05/2019,,Attiva,S.R.L.
106.,PASCOL S.R.L.,IT01030580144,01030580144,SO0077515,01030580144,"VIA AL PORTO, 2",Sondrio,23010,Lombardia,VIA AL PORTO 2,Sondrio,23010,LOMBARDIA,463210,07/06/2019,,In liquidazione,S.R.L.
107.,FG ENERGY S.R.L.,IT09044381219,09044381219,NA1004233,09044381219,"RIV DI CHIAIA, 256",Napoli,80121,Campania,,,,,620100,05/10/2018,,Attiva,S.R.L.
108.,SELLMASTERS S.R.L.,IT15428251001,15428251001,RM1589712,15428251001,"VLE DI VAL FIORITA, 86",Roma,00144,Lazio,VIALE DI VAL FIORITA 86,Roma,00144,LAZIO,620100,23/09/2019,,Attiva,S.R.L.
109.,TOP ENGINEERING S.R.L.,IT05012240262,05012240262,TV0418425,05012240262,"VIA DELLE INDUSTRIE, 4",Treviso,31043,Veneto,,,,,256200,04/04/2019,,Attiva,S.R.L.
110.,HIOP S.R.L.,IT08436090727,08436090727,BA0626909,08436090727,"VIA CAPRI, 44",Bari,70022,Puglia,VIA CAPRI 44,Bari,70022,PUGLIA,620909,27/04/2020,,Attiva,S.R.L.
