Organization Name,Organization Name URL,IPO Status,Company Type,Industries,Number of Employees,Headquarters Location,CB Rank (Organization),Stage,CB Rank (Company),Stock Symbol,Stock Symbol URL,Similar Companies,CB Rank (School),Number of Events,Stock Exchange,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Delisted Date,Delisted Date Precision,IPO Date,Acquisition Terms,Acquisition Type,Price,Price Currency,Price (in USD),Announced Date,Announced Date Precision,Acquired by,Acquired by URL,Transaction Name,Transaction Name URL,Acquisition Status,Number of Acquisitions,Number of Investors,Number of Lead Investors,Top 5 Investors,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Date,Funding Status,Number of Funding Rounds,Founders,Number of Founders,Industry Groups,Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Investment Stage,Investor Type,Full Description,Phone Number,Contact Email,LinkedIn,Website,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Operating Status,Description,Estimated Revenue Range,Postal Code,Headquarters Regions,Number of Portfolio Organizations
NextChem,https://www.crunchbase.com/organization/nextchem-aac0,Private,For Profit,"Carbon Capture, Chemical, Energy, Energy Efficiency, Environmental Consulting, Renewable Energy",101-250,"Via Di Mezzo Di Sopra, Veneto, Italy","8,132",,"6,834",,,,,,,,,,,,,,,,,,,,,,,,,,,Made Acquisitions,1,2,2,"SACE, Yousef Al Nowais",187500000,EUR,195082848,,,,,Debt Financing,125000000,EUR,129045979,2025-01-02,,2,"Mario Dragoni, Matteo Dragoni",2,"Energy, Professional Services, Science and Engineering, Sustainability",,,,,,"NextChem is the green chemistry subsidiary of Maire Tecnimont, an Italian multinational company specializing in engineering, technology, and energy. NextChem focuses on the energy transition by developing and deploying innovative solutions for sustainable industrial processes. It aims to accelerate decarbonization and promote the circular economy through advanced technologies.",,info@mairetecnimont.it,https://www.linkedin.com/company/nextchem,https://www.nextchem.it,,,,,2018-01-01,year,Active,NextChem develops energy transition solutions for industries through sustainable technology.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Krill Design,https://www.crunchbase.com/organization/krill-design,Private,For Profit,"3D Printing, Graphic Design, Product Design",1-10,"Milano, Lombardia, Italy","8,556",,"7,234",,,14,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,"Primo Capital, Algebris Investments, Crédit Agricole Italia",6000000,EUR,6218499,Series A,6000000,EUR,6218499,Series A,6000000,EUR,6218499,2025-02-11,Early Stage Venture,1,"Ivan Calimani, Martina Lamperti, Yack Humberto Di Maio",3,"Design, Manufacturing",,,,,,Krill Design is a design studio that creates circular economy projects to convert organic waste into material resources. It is a patented process that intercepts resources from the food supply chain to create zero-impact eco-designed 3D printed products.,+39 348 554 7594,info@krilldesign.net,https://www.linkedin.com/company/krill-design-milano/,https://www.krilldesign.net,,,,,2018-01-01,year,Active,Krill Design is a design studio that develops design circular products.,$1M to $10M,20139,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Brera Holdings,https://www.crunchbase.com/organization/brera-holdings,Public,For Profit,"Soccer, Sports",,"Milan, Lombardia, Italy","9,475",,"8,028",BREA,https://www.crunchbase.com/ipo/brera-holdings-ipo--07bacd9c,9,,,NASDAQ,,,,7500000,USD,7500000,,,2023-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IPO,,Daniel McClory,1,Sports,,,,,,"Brera Holdings PLC is an Irish holding company focused on growing social impact football (American soccer) through the development of a global portfolio of emerging football clubs with increased opportunities to win tournament prizes, gain sponsorships, and provide other professional football and related consulting services. The Company intends to build on the legacy and brand of Brera FC, the Company's first football club acquisition. Brera FC, also known as ""The Third Team of Milan"".",+39 0236537729,info@breramilanogroup.com,,https://www.breraholdings.com,,,2023-01-27,day,2022-01-01,year,Active,Brera Holdings is an Irish holding company dedicated to expanding social impact football through the development of consulting.,$1M to $10M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Energy Dome,https://www.crunchbase.com/organization/energy-dome,Private,For Profit,"Energy, Environmental Engineering, Renewable Energy",51-100,"Lonate Pozzolo, Lombardia, Italy","10,889",,"9,306",,,7,,,,,,,,,,,,,,,,,,,,,,,,,,16,9,"European Investment Bank, CDP Venture Capital, Elemental Impact, European Innovation Council, 360 Capital",166868250,USD,166868250,Series B,15000000,EUR,16701945,Grant,35000000,EUR,38124036,2023-12-01,Early Stage Venture,10,Claudio Spadacini,1,"Energy, Science and Engineering, Sustainability",,,,,,"Energy Dome develops a low-cost and efficient system for long-duration electricity storage using liquid CO2. Its focus is on long-duration energy storage for a more dispatchable and affordable renewable energy production with the aim of enabling decarbonization of the energy industry and a more sustainable future for all. It has the ambition of contributing to the solution of the climate change issue with new technologies capable of drastically reducing greenhouse gas emissions into the atmosphere. The company is headquartered in Lonate Pozzolo, Lombardy, Italy.",,,https://www.linkedin.com/company/energy-dome-s-p-a/,https://energydome.com/,,,,,2020-01-01,year,Active,Energy Dome develops a low-cost and efficient system for long-duration electricity storage using liquid CO2.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Jet HR,https://www.crunchbase.com/organization/jet-hr,Private,For Profit,"Human Resources, SaaS",11-50,"Milan, Lombardia, Italy","11,441",,"9,773",,,11,,,,,,,,,,,,,,,,,,,,,,,,,,22,2,"Plug and Play, Picus Capital, 2100 Ventures, Exor Ventures, Italian Founders Fund",16700000,EUR,18556907,Seed,12000000,EUR,13429323,Seed,12000000,EUR,13429323,2024-09-24,Seed,2,"Francesco Scalambrino, Marco Ogliengo",2,"Administrative Services, Software",,,,,,"Jet HR is a payroll administration platform that seeks to decrease bureaucracy in payroll, HR, and general operations.",,admin@jethr.com,https://www.linkedin.com/company/jethr/,https://www.jethr.com,,,,,2023-01-01,month,Active,"Jet HR is a payroll administration platform that seeks to decrease bureaucracy in payroll, HR, and general operations.",$1M to $10M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Mopso,https://www.crunchbase.com/organization/mopso,Private,For Profit,"Consulting, Finance, Software",1-10,"Milan, Lombardia, Italy","12,671",,"10,903",,,9,,,,,,,,,,,,,,,,,,,,,,,,,,3,,"CDP Venture Capital, Apside, Moltiply",1000000,EUR,1047766,Seed,1000000,EUR,1047766,Seed,1000000,EUR,1047766,2025-02-27,Seed,1,Andrea Danielli,1,"Financial Services, Professional Services, Software",,,,,,,,andrea@mopso.it,https://www.linkedin.com/company/mopso-srl/,https://www.mopso.eu/,,,,,2021-04-12,day,Active,Software solutions for the anti-money laundering,,20122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
FiberCop,https://www.crunchbase.com/organization/fibercop,Private,For Profit,Telecommunications,,"Milan, Lombardia, Italy","12,722",,"10,946",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Kohlberg Kravis Roberts,438700000,EUR,477040716,,,,,Secondary Market,438700000,EUR,477040716,2024-06-05,,1,,,Hardware,,,,,,,,,https://www.linkedin.com/company/fibercop,http://www.fibercop.it/,,,,,2021-04-01,day,Active,FiberCop aim of developing digital services through high-performance fiber optic connections.,$1B to $10B,20123,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Contents,https://www.crunchbase.com/organization/contentsdotcom,Private,For Profit,"Artificial Intelligence (AI), Content, Generative AI, Information Technology, SaaS, Software",101-250,"Milan, Lombardia, Italy","13,532",,"11,663",,,31,,,,,,,,,,,,,,,,,,,,,,,,Made Acquisitions,3,11,3,"Thomson Reuters Ventures, Alkemia Capital, SideAngels, Azimut Digitech Fund, Synergo Capital",26023701,USD,26023701,Venture - Series Unknown,,,,Venture - Series Unknown,,,,2025-01-30,,7,Massimiliano Squillace,1,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Media and Entertainment, Science and Engineering, Software",,,,,,"Contents is Series B company leader in AI content creation for enterprise, providing a robust AI platform that facilitates the generation of diverse content types including text, audio, video, and animations. The platform is equipped with advanced tools tailored to support a variety of content needs. Its innovative Brand Voice service stands out, allowing businesses to craft content that resonates with their unique brand identity through AI-driven customization. Designed for a wide range of users, from small bloggers to large corporations, Contents.com makes content creation more efficient, creative, and accessible in multiple languages, catering to a global audience.",+39 02 96840095,info@contents.com,https://www.linkedin.com/company/contentscom,https://www.contents.com/,,,,,2021-01-01,year,Active,Contents is a Generative AI company that has developed a SaaS platform to support any business in content creation.,$10M to $50M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Scalapay,https://www.crunchbase.com/organization/scalapay,Private,For Profit,"Credit, Financial Services, Mobile Payments, Payments",101-250,"Milan, Lombardia, Italy","14,269",,"12,313",,,10,,,,,,,,,,,,,,,,,,,,,,,,Made Acquisitions,1,12,6,"Tiger Global Management, BNP Paribas, Tencent, Fasanara Capital, Moore Capital",3973460365,USD,3973460365,Series B,27000000,USD,27000000,Debt Financing,3000000000,EUR,3245980394,2024-10-29,Early Stage Venture,6,"Johnny Mitrevski, Raffaele Terrone, Simone Mancini",3,"Financial Services, Lending and Investments, Mobile, Payments, Software",,,,,,"Founded in 2019 by Simone Mancini and Johnny Mitrevski, Scalapay is a financial technology company specializing in ""Buy Now, Pay Later"" (BNPL) services, aimed at transforming how consumers shop both online and in-store. While headquartered in Milan, Italy, the company has rapidly expanded across Europe, providing a flexible payment solution that allows customers to split their purchases into three interest-free instalments.",,support@scalapay.com,https://www.linkedin.com/company/scalapay,https://www.scalapay.com,,,,,2019-01-01,day,Active,"Founded in 2019 by Simone Mancini and Johnny Mitrevski, Scalapay is a fintech company specializing in ""Buy Now, Pay Later"" services",$100M to $500M,20123,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
AAVantgarde Bio,https://www.crunchbase.com/organization/aavantgarde-bio,Private,For Profit,"Biotechnology, Health Care, Therapeutics",11-50,"Milano, Lombardia, Italy","15,349",,"13,296",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,"Longwood Fund, Sofinnova Partners, Atlas Venture, Forbion Capital Partners, Fondazione Telethon",61000000,EUR,65254600,Series A,61000000,EUR,65254600,Series A,61000000,EUR,65254600,2023-06-06,Early Stage Venture,2,Alberto Auricchio,1,"Biotechnology, Health Care, Science and Engineering",,,,,,AAVantgarde Bio is developing gene therapies for inherited retinal disorders.,+39 329-552-4297,info@aavantgardebio.com,https://www.linkedin.com/company/aavantgarde-bio,https://www.aavantgarde.com/,,,,,2021-01-01,year,Active,AAVantgarde Bio is a biotechnology company that develops gene therapies for inherited retinal disorders.,,20122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
ICONIUM,https://www.crunchbase.com/organization/iconium,Private,For Profit,"Asset Management, Blockchain, Cryptocurrency",1-10,"Milan, Lombardia, Italy","15,582",,"13,530",,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000,EUR,5716376,Seed,5000000,EUR,5716376,Seed,5000000,EUR,5716376,2018-11-07,Seed,1,"Antonio Chiarello, Domenico Laudonia, Fabio Pezzotti, Luciano Serra, Marco Costa, Mauro Del Rio, Thomas Baggio",7,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",,,,"Early Stage Venture, Initial Coin Offering, Seed","Private Equity Firm, Venture Capital","We back the most revolutionary industry since the birth of the Internet: Blockchain, Cryptocurrencies, Digital Assets, with a team dedicated to the identification, development and selection of the best projects and opportunities in the world. We also support operationally projects with 360 degrees services to start and grow successful blockchain protocols and dAPPS.",,contact@iconium.it,https://www.linkedin.com/company/iconium.it/,http://www.iconium.it,,,,,2018-01-10,day,Active,ICONIUM is backing the best Blockchain-based token sales and invest in digital assets Worldwide.,,20121,"European Union (EU), Europe, Middle East, and Africa (EMEA)",33
Smartpricing,https://www.crunchbase.com/organization/smartpricing,Private,For Profit,"Computer, Software",101-250,"Riva Del Garda, Trentino-Alto Adige, Italy","16,726",,"14,538",,,6,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,"Partech, Fabrick, Azimut Digitech Fund, The Techshop, GELLIFY",17187920,USD,17187920,Series A,13000000,EUR,14181055,Series A,13000000,EUR,14181055,2023-12-15,Early Stage Venture,3,"Eugenio Bancaro, Luca Rodella, Tommaso Centonze",3,"Consumer Electronics, Hardware, Software",,,,,,Smartpricing is a provider of computer software application and revenue management system solutions to Hotel.,,,https://www.linkedin.com/company/smartpricing-it/about/,https://www.smartpricing.it/,,,,,2020-01-01,month,Active,Smartpricing is a provider of computer software application and revenue management system solutions to Hotel.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Approxima,https://www.crunchbase.com/organization/approxima-40d3,Private,For Profit,Medical Device,1-10,"Milan, Lombardia, Italy","16,813",,"14,614",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,"Panakes Partners, Club degli Investitori, ENEA Tech e Biomedical",8900000,EUR,9331914,Series A,7300000,EUR,7615264,Series A,7300000,EUR,7615264,2025-02-20,Early Stage Venture,2,,,Health Care,,,,,,"Approxima is an early-stage MedTech startup that is creating a percutaneous tricuspid valve replacement method. The company is demonstrating in vivo safety, efficacy, and feasibility through preclinical feasibility phase trials.",,info@approximamedical.com,https://www.linkedin.com/company/approxima-s-r-l,https://www.approximamedical.com/,,,,,2020-05-28,day,Active,Approxima is an early-stage MedTech startup that is creating a percutaneous tricuspid valve replacement method.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Unobravo | Telehealth & psychology,https://www.crunchbase.com/organization/unobravo,Private,For Profit,"Health Care, mHealth, Psychology, Therapeutics",1001-5000,"Napoli, Campania, Italy","18,292",,"15,985",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,"Insight Partners, Cassa Depositi e Prestiti, CDP Equity, SocialFare, Thomas Plantenga",17150000,EUR,17553614,Series A,17000000,EUR,17374774,Series A,17000000,EUR,17374774,2022-07-21,Early Stage Venture,3,Danila De Stefano,1,"Health Care, Mobile",,,,,,"Unobravo is a platform that matches people looking for psychological support with the therapist best suited to support them, facilitates the therapy journey via video calls, and helps therapists run their practices more efficiently. The therapists we work with are all licensed psychologists and are carefully selected by our team. Our matching algorithm is deeply rooted in the clinical experience of our team and takes into account on one hand the clinical need and personal preferences of the patient, and on the other the expertise of the therapist. Unobravo was founded in 2019. In June 2023 it counts 3100+ therapists, 100.000+ patients and over a million therapy sessions. Unobravo leads Italian market and is scaling up the Spanish one (under the brand ""Buencoco"").",,info@unobravo.com,https://www.linkedin.com/company/20481542/,https://www.unobravo.com/,,,,,2019-08-08,day,Active,Unobravo is a platform that matches people looking for psychological support with the therapist best suited to support them.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
